txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-07,2026-08-10 00:00:00,0001554855-26-001756,EEFT,"EURONET WORLDWIDE, INC.",0001029199,NASDAQ,6099,"Functions Related to Depository Banking, Nec","Finance, Insurance, Real Estate",MCDONNELL THOMAS A,0001034466,,true,false,false,P,781.0,70.6,55138.6,101000.0,D,2662762019.3673706,2.0707295507054004e-05
2026-05-26,2026-05-26 00:00:00,0001554855-26-001152,EEFT,"EURONET WORLDWIDE, INC.",0001029199,NASDAQ,6099,"Functions Related to Depository Banking, Nec","Finance, Insurance, Real Estate",MCDONNELL THOMAS A,0001034466,,true,false,false,P,3000.0,66.87,200610.0,100219.0,D,2662762019.3673706,7.533906467828533e-05
